sampleID,d15N,d13C
S9R44vg6v2/MrQsjQZV30DSyddux20m2h/Rcmy8/F5E=,2.9,-15.8
S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=,3.4,-15
S9R44vg6v2/Sa7hSEKNKHKnsYa4CbdeP+5AeCh0emEk=,2.5,-15.5
S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=,1,-17.6
S9R44vg6v2+1jRmWdbEcAJawb+LPEfYNK3yvx7MecLo=,4.2,-14.9
S9R44vg6v2/PqhJcPWl0CUyZ239Bg+HAwSXvlakgaB0=,3.8,-15.5
NrWJnEy30pa9hgXY8If8AY5TrRXqpMAeSXJ+RPJ/lsc=,0.6,-16.7
NrWJnEy30pb5EcVYTMMiU26ZS7F2zKDT+Js/ODOwVhc=,-0.7,-14.7
NrWJnEy30pbj4NIPURE2sikM/qF3XH+X0yenfyA3+Q0=,0.3,-14.8
NrWJnEy30pZqn1VwLwoBVg7l6ivlc3J10ibwDk2Vuhg=,-0.3,-14.9
NrWJnEy30pYr4GLSTAZ247KTc3nq42ldlm5FvAbTsjs=,1.2,-26.2
NrWJnEy30pYr4GLSTAZ24yN8oL+QHJhidXI7U0chpHA=,1,-25.4
NrWJnEy30pboUEQP7+NMQxhQa0OlKLMS7BP5yaAGj9M=,2.5,-23.3
NrWJnEy30pbwSpw8EOxr+DGFjDTsZzuufnO0R26lf4w=,2,-24.9
NrWJnEy30pZRljXI+FTyc/uwdhyAYSe+mwqvQkYrQcM=,1.3,-25.2
NrWJnEy30pZRljXI+FTyc/uwdhyAYSe+mwqvQkYrQcM=,1.3,-25.2
NrWJnEy30pZRljXI+FTycyL3xQ835lNrkh9pP/sFrI4=,3.1,-25.9
NrWJnEy30pYsOLt0P8zpUfj1NcQEr+t2fQ9QGvrUo0Q=,0.6,-25.4
NrWJnEy30pYsOLt0P8zpUddx+xxMxYlrb6gGDqgQNLM=,4.2,-25.1
NrWJnEy30pZRljXI+FTyc2s84MxjG5P116haV5NqLeg=,2.3,-25.8
NrWJnEy30pb4EVg1h7vKBhyQSCDu3e7HofIQnNAlWUc=,0.1,-15
NrWJnEy30pZCBryAjUp90THkSfUmXWd7+rItOE84apU=,2.4,-27.6
NrWJnEy30pZCBryAjUp90THkSfUmXWd7+rItOE84apU=,3.4,-27.1
NrWJnEy30pbcpw8EaMiyiElFaR0DVwe/2BArmVu6rLI=,2.2,-23.9
NrWJnEy30pY7mqLzV/GlD8Tx9GHFO+ktf2IWF2b3D5Q=,0.4,-14.7
NrWJnEy30pYsOLt0P8zpUQFLD1rsG2GuICMSV89HMug=,2.4,-25.1
NrWJnEy30pbuP69ov+0JeOE3aEUwiTEOIMhdl1YK14E=,4.4,-27.3
NrWJnEy30pYYaqb65P/txHFwP9Z0aO6ygWU5e8VKz3c=,0.8,-25.7
NrWJnEy30pYYaqb65P/txO5jwjDE4jV+zyxfJFzQ71k=,1.1,-26.9
NrWJnEy30pYYaqb65P/txAQ6d6fMomPN9ZHLrVSVYc8=,2.8,-25.2
NrWJnEy30pZqE7p+mqFMpDuA/8aaBwdz4Qb6w2nBjUg=,3.9,-26.6
NrWJnEy30paXWVwPGNeLA3bcN6npfYMj4KkpihH3CnM=,1.3,-26.3
NrWJnEy30pb2I0eANqHBFmEb+RrjGRFnHaOE7HB7Rqs=,1.2,-14.5
NrWJnEy30pawL8XCla3vZP1vxd27/TQfc8ZDCj6nzvA=,0.7,-26.7
NrWJnEy30pZHsQu/3QeAH0+gm9/8oaQNVL5O+Y0Q6+M=,4.7,-15.6
NrWJnEy30pZHsQu/3QeAHxDYA7SRCH6Ln6MSWKjCFxw=,5.2,-16.1
NrWJnEy30pawL8XCla3vZMLNSpzUcAKcw400bBSrnEg=,0.3,-26.2
NrWJnEy30pZNnXCLG7MthVcehPDiPppO8clc8NszAqM=,3,-27.6
NrWJnEy30pYw1B9yB2HtnABHPCi1L1KjU8aHBjTba2A=,1.9,-26.1
NrWJnEy30pbhSG614nyBEPqn14D29g5Tt1QsEUmkTvk=,2.4,-23.7
NrWJnEy30pZxH/6PUXNbX6KZcLtNk789gRtMym4BTnc=,2.6,-26.9
NrWJnEy30pZxH/6PUXNbX3tvQEwJgXH1hDwjDC7kBDQ=,2.9,-26
NrWJnEy30palUinYjroI3zRhb1IGYlUS0nD+e5sRSWw=,5,-15.3
NrWJnEy30palUinYjroI3zRhb1IGYlUS0nD+e5sRSWw=,5,-15.3
NrWJnEy30pbt+dOpNyz1JdofK3GzcQ0vYd+AoK23POI=,1.4,-26.5
NrWJnEy30pYb69Uqz+Q+XPFkcp/Wrq/8l+vzN0Urtms=,3,-26.2
NrWJnEy30pYb69Uqz+Q+XH8Dse0kO1RgvtuHAnji6Ek=,3.3,-26.5
NrWJnEy30pZbEqIOrdFqU6qtuZr16K9TZQTGgRAVXUc=,1.1,-23.6
NrWJnEy30paYuDYbi6UpBGUaYIldyt1RIar0jBMz2xo=,0.7,-22
NrWJnEy30pa4aFcQG+KLHj5hId0A/fkLH5BBTjq/kEw=,3.4,-13.8
NrWJnEy30palUinYjroI36BhichcXPGokQZCBturk38=,6.8,-15.2
P3kunhL9imA70jl1EnlumGtc9NYHsP9H/v+3jSqJQv0=,-2.8,-29.2
P3kunhL9imALecDVNNols+Hs2m+9sYqcfzHqq4HPjdY=,0.3,-29.9
P3kunhL9imALecDVNNols+Hs2m+9sYqcfzHqq4HPjdY=,0.1,-30
P3kunhL9imDcMwJNR7pXD9JwOM1O9//SsQlYaD0gEUo=,-4.8,-27.2
P3kunhL9imDcMwJNR7pXD44rHggdR4ZwJ5ywFytmgoo=,-4.1,-28.7
P3kunhL9imDcMwJNR7pXD7J+nm5NB1mbR1eqYhuIsw4=,-4.2,-27.7
P3kunhL9imC/RYNA3UJyYlPBcXM1xPkGKY1xn2PR70k=,-4.8,-30.5
P3kunhL9imBB73h8GPDce99AgyJlAtNfqHVdSCX5p30=,-5.9,-28
P3kunhL9imB2ogM7Qwr3ufoX6jRrAN5TgIvwZqZpnE4=,-3.4,-29.9
P3kunhL9imCoWAM/ZrwpAiYpU+Sgsb4xV8aD5hvbcP4=,-5.2,-30.5
P3kunhL9imCL7IL5J5RpwgmZI8nm9yVd2cYIWO0NCWA=,-5,-29.5
P3kunhL9imAfVlcYyDBLENnYurhA6sSyzQiyctCa6Fc=,-5.1,-26
P3kunhL9imD8wsAmAZLigSK2UAzTfCFhnwFBpM46v4M=,-2.7,-30.2
P3kunhL9imDHdca1Uo9t31rlfqCqQI6Uq4pYIko2Yug=,-2.9,-30.8
P3kunhL9imDHdca1Uo9t31rlfqCqQI6Uq4pYIko2Yug=,-2.8,-30.8
P3kunhL9imD3XS6HMNxU6CGHnkK3IlDh6pQ0l0inFJg=,-4.6,-29.7
P3kunhL9imCLhHZCGaVU5i/FWdw+dN9aiY/xyorbUUQ=,-2.4,-28.3
P3kunhL9imCLhHZCGaVU5i/FWdw+dN9aiY/xyorbUUQ=,-2.6,-28.3
P3kunhL9imDuWescO8pkuXaAyVGREIwyp8voGRAb5N4=,-3.9,-29.7
P3kunhL9imBoGOImDD3OMe8+Vq8OHhbGRXivA95BtUY=,-4.5,-25.7
P3kunhL9imC869xF41scI37CS5B252Zj50BroFy/QK4=,-4.1,-26.8
P3kunhL9imAVUyj+jGZAamAc+NSicMATCYdCzNQFW+Q=,-2.6,-29.9
P3kunhL9imAuveiugLwoB+sE6loJoNaPcZ8rTSJG2LU=,-5.2,-29.4
P3kunhL9imDjQiMbDFF1+6iHWu+5aan+mKxYLzHg6oM=,-3.9,-30.4
P3kunhL9imA6EGMWPAbDtXxl9hQrnuRP7SgnPayoiRQ=,-7,-28.6
P3kunhL9imCcaNqq5lNo5Xf42nSK+coV/dkqC8pfpnA=,-5.2,-29
P3kunhL9imDJgYPbZUw0bVzgti8BJJchRt/ztvJS2NE=,-5.3,-28.2
P3kunhL9imAT9aqsQMxA+LxNgRwlUTROgh+IjKm67lI=,-2.2,-31.3
P3kunhL9imAT9aqsQMxA+GuMPRBHB+pfZzQZkvQf3LE=,-3.4,-30.6
P3kunhL9imAtCqDUp1aNJKy/gctCbpftGFWl76j+I3E=,-1.8,-29.9
P3kunhL9imAtCqDUp1aNJKDALrRedjhrxLjepgp+t2M=,-2.2,-30.5
P3kunhL9imCIrq52CTp1qTbQw84JydRMQDXKavvDIBY=,-0.7,-28.8
P3kunhL9imAtK/zQL3ODmN/tRVUNM3/nBo9IepKHBLk=,-3.8,-31.3
P3kunhL9imAtK/zQL3ODmEYYEQDJKsCAJChZRsC+h9s=,-3.3,-31.2
P3kunhL9imAtK/zQL3ODmM4pnkV5lCR86s4ANMBd7HM=,-1.3,-30.2
P3kunhL9imCEVtjyAAzgCOyrMQ3jhXz7E22MAFk2jeM=,-1.1,-28.6
P3kunhL9imCEVtjyAAzgCIR/+HHae81qWx+LM/X/1WU=,-1.9,-29.3
P3kunhL9imC0nfaQkU3DFlBVqrU+ia8sH5e48uLWAX4=,-5.4,-27.6
P3kunhL9imAitCzxiVlkI2YLSpSOMToG7ZZ8sliqakU=,-4.4,-28.3
P3kunhL9imAlC8o2WmOPD140oyN9HecG6th4qxkfp9Q=,-3,-27.5
P3kunhL9imAlC8o2WmOPDwIlfUnwzEoWvwdlr8wqDhw=,-2.8,-28
qEiBKdJclf+nR681TpDMXxYIHMlcgulAGWaLowu2mRA=,2.1,-27.1
qEiBKdJclf8Nc8Zps4EcxwGAIQUw1GmRCoVWhrEhE6U=,-5.9,-28.7
qEiBKdJclf/qUXnIi09tl92vPpcsZh9Zw1nJ8WnLMaU=,-2.9,-27.9
qEiBKdJclf8jL/g0bc0AZWTjS4pNiJ7F5iPB0pMaI1E=,-0.1,-26.3
qEiBKdJclf+pOMJALhbbHVboqZWo6JKi03e8lkgE58k=,-0.3,-27.8
qEiBKdJclf/gO40VAdsYAXbDbZqloTQ6qvmYhE4HbOc=,-5.1,-28.9
qEiBKdJclf+XliQfAK4VfFY24gCcvf23CWk08FvWlLY=,-1.5,-27.1
qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhoMfZE5p8i18=,-3.2,-28.1
qEiBKdJclf8wwTlGiZ1D7IDXKlLzhOfhoMfZE5p8i18=,-2.7,-27.9
qEiBKdJclf+Kof9F/RlrR8cOYz3WvmOvyU3yQRxflZI=,-1.3,-27.5
qEiBKdJclf9sGhplCozPmoSOBsIfeCIEsIQK8+fOOzc=,-1.1,-28.2
qEiBKdJclf+zuciOTs6awmkdVVR5ghGtcoLgAIQ0wiU=,-3.4,-28.6
qEiBKdJclf8TB3rUZU0kB/McL/P7lY8mz73nT/yZT5U=,-2.7,-27.9
qEiBKdJclf+43qa99xh4YWl+sReIsXt+0X8mbLUAae4=,-5.1,-28.6
qEiBKdJclf/5AmRA23JH+dq2YUuS7Pyu6+LNASbCJtI=,-3.1,-27.1
qEiBKdJclf/Qzzrb+epfBaa/wpAkxvwVFhutT6BHZMI=,-2.4,-28.7
qEiBKdJclf/YTFGQgd1EGchBNa+roNvTCU8NOc0dZFg=,0.9,-27.2
qEiBKdJclf/N8NkyLma/b3gLGFFQ/mhfiPuVkXplvnc=,0.2,-27.7
qEiBKdJclf9O9QxrtCWSWnAZh/Rfp0UVhROueeb8F8g=,1.4,-26.9
gl9c5nxc3EPjHrD7XslWLuTy3FooHkIQqASn/F7NncQ=,-6.8,-28.4
gl9c5nxc3EPjHrD7XslWLo1ZOYKQWA68nNNx2qyPr90=,-4.3,-29.2
gl9c5nxc3EPm5bK0DnWAxt5nJTcw5D3BQcYV2FOFzis=,-2.6,-29.4
gl9c5nxc3EPokhq2dcqGgz/P9qXD+fu4c3mSzVDTXqQ=,-4.9,-29
gl9c5nxc3EPokhq2dcqGg5LeyZQm6CRsKhijUAzeXpM=,-5,-29.1
gl9c5nxc3EPokhq2dcqGg5Z5UElL0WDo5c7prtv201I=,-4.5,-27.4
gl9c5nxc3ENwIAmCZtgwheTTY5e2wuEwDorVoGTm5Sc=,-3.7,-27
gl9c5nxc3EN7BaCT9QKJVi6IXE27YUxGCNSWqpQw8JY=,-4.7,-28.2
gl9c5nxc3EN+jeDkI8nFrhHMz5BcCPCU7LwEecCgETg=,-1.3,-26.9
gl9c5nxc3EN+jeDkI8nFrie1HjwcKUZE1OBrhifSxek=,-1.1,-27.6
gl9c5nxc3EN+jeDkI8nFrho8UwEnNOT5ueDpQEtKRkQ=,-1.3,-27.3
gl9c5nxc3EPzK7MYfbW77i5iMl+ksl98Z2OeEtagf6c=,-8.1,-28.7
gl9c5nxc3EPzK7MYfbW77g0fVS+34D7hB/lVy6IjMEY=,-9.3,-29.3
gl9c5nxc3EMIxSmw22qUtAKpncX2zwD3vHQK7nT1nq4=,-9.2,-28.1
gl9c5nxc3EMrbCV2EYxy/8sg4I/ZVd1RhSFT4LbDrB0=,-7.8,-28.9
gl9c5nxc3EMIxSmw22qUtJHsIHmJauqRoCGeFrWMosM=,-8.6,-27.9
gl9c5nxc3EOtO7tZc424iL8rKeRL5AW6RgbqR6z87C8=,-3.7,-29
gl9c5nxc3ENwIAmCZtgwhayMct6s0fKA5VlR5MYQSmE=,-3.6,-29.5
gl9c5nxc3ENwIAmCZtgwhayMct6s0fKA5VlR5MYQSmE=,-3.9,-29.8
gl9c5nxc3EOc8u0J3Y75ffBJU80DbqJY5uSC2ik3xtE=,-3.9,-27.9
gl9c5nxc3EN6eLMqeYKxFvZWEQSpOSXYcRLAo0Pc3bk=,3.4,-29.5
gl9c5nxc3EN6eLMqeYKxFqcP7nstQgynXPHbMQzRZr0=,1.3,-29.6
gl9c5nxc3EN7BaCT9QKJVlrnk4TUEuaNMbKffl6UdSc=,-2.2,-28
gl9c5nxc3EN7BaCT9QKJVkMF0rAHnTf6xwyZllUvBog=,-2.5,-27.2
gl9c5nxc3END9bGn2y0YOVQt7+dWIUlt8Bs23u0VK8A=,-6.4,-29.1
gl9c5nxc3END9bGn2y0YOcg0QM3sYjESh0Oepy0wI10=,-4.8,-29.5
gl9c5nxc3END9bGn2y0YOSi8pCtGVXl6skQ/iRNx7Mw=,-6.2,-30.1
gl9c5nxc3EPzK7MYfbW77urp9cyq++TsaYkeOmCKAzM=,-9.6,-28.1
gl9c5nxc3EOTRIoeb+CyrCVxk1YFPkyuwo2Z0Z6Fdh4=,-1.8,-30.7
gl9c5nxc3EOTRIoeb+CyrCVxk1YFPkyuwo2Z0Z6Fdh4=,-1.9,-30.7
gl9c5nxc3EOTRIoeb+CyrB1GX+SHqHJvis4jCEZ+ac4=,-1.9,-30
gl9c5nxc3EOCwJwmyBLWt0fwl7F2cCfKTk4PlaSr110=,-6.2,-29
gl9c5nxc3EPIhROppxgqJJRibIVP4otE9HlPFujEIGE=,-3.3,-28.7
gl9c5nxc3EOCwJwmyBLWt4N5R2sJi+vzC65+7V5BR3o=,-5.7,-29.9
gl9c5nxc3EPYWXH7BuaQ5pzvEFHgp1IfzaEq9J2Bv+8=,2.7,-31.2
gl9c5nxc3EOCwJwmyBLWty9U2YY5Xt6U8HxQqfHrFAM=,-4.3,-28.9
gl9c5nxc3EPW69DPtMWceqxC/k1F6VdCBUIZSnhswro=,-4.2,-30.8
gl9c5nxc3EOgNktBNQN7g/onkN8EZs5xjdwwcsbVvMk=,-7.9,-28.5
gl9c5nxc3EPJ9yLCrELBlB+zsL8sKDEMUyvK6hHcCG0=,-4.7,-28
gl9c5nxc3EPW69DPtMWcepm8JVOuDlm95h3uQTTZk78=,-3.7,-29.8
gl9c5nxc3EOTRIoeb+CyrDmvkiY311lT7G34yCe3FzE=,2.5,-30.4
gl9c5nxc3EOgNktBNQN7gySGAKcevMMDGKPRhXcqry0=,-6.3,-28.9
gl9c5nxc3EOgNktBNQN7gySGAKcevMMDGKPRhXcqry0=,-6.1,-28.9
gl9c5nxc3EOgNktBNQN7g7Vid4UqLsx0gsRH+aW+WBM=,-3.3,-28.7
gl9c5nxc3EPIhROppxgqJF9CnJ680GS/tpFJclqKjc8=,-3.5,-27.4
