sampleID,d15N,d13C
VIe0/2w3fNeKiqeEFmkbTmAG23MSwrWMR4cAci0XV9A=,-0.8,-30.6
Cekj+eelgP/sGcPrqr9Pzgu/+/VJ097jr+rZh2V8Hcw=,-3.5,-15.6
Cekj+eelgP9s9pDMbarmFxNu4AVtN2BlNTcUH7ACslY=,-2.1,-28
Cekj+eelgP/O8PU4swAXHMBynq9bqLSM9VkSpEY46BI=,-0.7,-23.2
Cekj+eelgP+FtsCbsa7Fx0yuDENzSZgUu0oOcsF1rUs=,-3,-16.1
Cekj+eelgP8YwVIKeX8KmDyhH3AmhbeIlUmTMgLm/C8=,-2.9,-18.2
Cekj+eelgP8twWen9yIBWBwjrwASs76HLmjW19E2bhI=,-1.9,-21.8
Cekj+eelgP9pjZG8ytWEoHzBBaS0LQQk2YY5mtqP/40=,-3,-17.2
Cekj+eelgP83+pvaUJG6uVN78ri862V09xDnre+Oyw0=,-3.1,-20.4
Cekj+eelgP9Fy+DOcsp9U9WSf3DutN4vIMfm1mkoIOs=,-2.9,-24
Cekj+eelgP8rqN6W/F1q6YCZHdfSRxLt+hQaovm3xi8=,-2.7,-21.7
Cekj+eelgP9P1Up66iRoAATQx/RQZ6bdUCrZN/Ev46I=,-2.3,-20.9
Cekj+eelgP8HxmkpxRAwFsNuGbR/BPcjYvpoCekY9zU=,-3.3,-19.4
Cekj+eelgP8/q2AoGGZ6cjflPDbdob4H68G9jeB0LE4=,-2.5,-29.3
Cekj+eelgP9EQU0Al2SAyHWyKDGB1fuXsJVvjMdieHQ=,-3.2,-19.1
Cekj+eelgP8hUU9GdNe5XfX3pGP3FBauzJmzRANL8iI=,-3.6,-16
Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,1.3,-30
Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,1.3,-30
Cekj+eelgP8+4YR5y1t7pT4/Zul4g7BryOIPuZIcrPg=,0,-30.5
Cekj+eelgP8q1NEnDzdC19xoggzEesTICna+K/T2/i8=,-1.7,-28.8
Cekj+eelgP8HXcbi/ODa0/qRYJ5dTsQvWcxvufLOWzo=,-4.1,-15.6
Cekj+eelgP8uS0GdYPFp5KBQFxDLErk8/9bEYj2O/4c=,-0.6,-20.8
Cekj+eelgP+cMuvhPkH2BUGvTeSn6Qri+6Vh1rUUygg=,-1.2,-12.8
Cekj+eelgP9bPJfGB8NLPOKnWRmFr78F2pP78Z/tca4=,-1.4,-27.6
Cekj+eelgP9bPJfGB8NLPOKnWRmFr78F2pP78Z/tca4=,-1.7,-27.6
Cekj+eelgP+JU1TuJl/+NyRpZCtuTeXl70lA7g/ELJM=,-3.7,-29.3
Cekj+eelgP+Mphfzc7CuRuUDCGvgrsnOcmEkTVoXz+k=,-1,-29.7
Cekj+eelgP8BVlPglPP663jNMIMVWkwLlhghkBSvLho=,-3.9,-15.3
GWdltx9aizzQsOatZUJsTKXh9WVfZ1p59Gmq8XBhUsY=,-2.1,-29.3
GWdltx9aizz+eW7mhYtdgHHS7ub+yvWdH8xAIFtLEic=,0.4,-28.1
GWdltx9aizxnREsKrQUNVx+rhJuZDAIdFkLPfd8DK/s=,-1.8,-30.4
GWdltx9aizzDOc8cslgsczc6G6AcbIhCXhF4n/geWJg=,-1.4,-27.9
GWdltx9aizxZ2lA1eXFJbK4By16dJyeFDUmPqcl5wBc=,-2.1,-30.8
GWdltx9aizz0DILFyfUVG0swgdZQAhMEm+LKhPXul3g=,-1.9,-30.9
GWdltx9aizxQJQrF5SN79fCBzWS9GbZ9YLeU+umVPCg=,-4,-18.6
GWdltx9aizxwX7AzJ2MXqobnx3r+YMO7INvF7rJVrVM=,-2.4,-29.1
GWdltx9aizxwX7AzJ2MXqobnx3r+YMO7INvF7rJVrVM=,-2.3,-29
GWdltx9aizxltZTOwRb9Qn1PT5NJRj6g9P5dt7eEN5g=,-0.5,-27.5
GWdltx9aizxVVTEWIy/rgS3q/5kJNQuXMZQhBX27jBA=,-1.5,-29.4
GWdltx9aizxVVTEWIy/rgS3q/5kJNQuXMZQhBX27jBA=,-1.6,-29.4
GWdltx9aizx+741BiGj9NSCvw105MMBiYMWsSDMM46Y=,-0.2,-28.6
GWdltx9aizx3z760/fR15SpiFHRYErnjlP6L/L9fuX8=,-0.6,-29.4
GWdltx9aizwSUKXTa1nTW7VD1P738RrEpJy7OoBkMGI=,-2.5,-28.4
GWdltx9aizy6I9LfzL4LGI1RYO5rVtd7Mo9X5Dy1chw=,0.1,-30.1
GWdltx9aizyE5wqE6jwd0awrj5nNqUOrkqO53aRq+tQ=,-2.5,-29.3
GWdltx9aizxOwbhZQguihZXWJuisQl/x5kY2TJUSvdM=,-1.7,-30.2
GWdltx9aizwB2G6k1nROTvajVW6PL5WSXYwcKEEpGIo=,-3.2,-27.1
GWdltx9aizy3LyScbmoHDVfDothklzDRoN2k3mBflDE=,1.4,-28.8
GWdltx9aizwykWGklWP55Z+TJSDS0uiq86ssNyG+0M0=,-0.5,-30.9
GWdltx9aizyjTl3s5dYKYAw7c4XLQizyhUKrBuixZ6Y=,1.4,-29.3
GWdltx9aizxWRqD2B7t+KVF/yFbERXmzPCNSoZXmGLk=,-3.3,-28.6
GWdltx9aizxrChEqgglNezk7yTwIE5ZQMQjjTS1/Wx8=,-3.8,-26.2
GWdltx9aizzZsNar0C0gI5GlQgXkCohh3GgbsOtPc38=,-0.4,-26.1
GWdltx9aizzewq+Bhmn48e8HydNfhTGQdKsjeW+8Zic=,0.7,-30.3
GWdltx9aizyIXfXbHC4zfGjXmT91MOgAJt3edimSaVo=,0,-27.8
GWdltx9aizxDEJks+UqN+DtvJBnyBinfzifOi7N8Qrk=,-1.9,-31
GWdltx9aizxDEJks+UqN+DtvJBnyBinfzifOi7N8Qrk=,-2,-31
GWdltx9aizxHHFq5Gd5uOTdSmsmARmTlerUHlSyFCWc=,-1.5,-27.3
GWdltx9aizxSmu/kSEapch0miRt+v03zRDpWB/Xxy9E=,-0.7,-26.8
GWdltx9aizy7yN/xTkdtuNgPw68eqjbx32YNnxmaeYw=,-0.1,-28.7
GWdltx9aizxsKmJ5Hh0P2W40qn3VablroCyuxXdIhKI=,-1.7,-30.7
GWdltx9aizzQuZYTexyYCNxG7My+Vs+OijqMTaglq7s=,1.2,-28.2
GWdltx9aizxw8eZ6XZEsHFBMLNq+jTB9nXoXjG/XAiU=,-0.9,-29.2
GWdltx9aizwUIvwly+CNPGPGlcuZQNSxyKjD7EEv1Jo=,-0.7,-29.8
GWdltx9aizz5j/fyJpVRjQMvmK7uJm06rqYeoFLOcvY=,2.5,-31.8
GWdltx9aizzy30t6oX81RYidXP5+Djvv8RfNYqAMgw0=,-1.1,-29.8
GWdltx9aizz0vObCMOeVWGJCwCaJn6hH7dOqrm0R78s=,1.7,-29.8
GWdltx9aizwSKy1QJMee9nHSJAl2KbWe+wWqfMa91vI=,2,-32.8
GWdltx9aizyuZKUdN3WWMBZcRIoCoI4WPc8KDHlpbIg=,-1.1,-27.6
GWdltx9aizxzfzgjEGH89eco2RhQN2Vxoj+nAl9JLnQ=,-0.7,-27.4
GWdltx9aizw8Illw/plSgldbgdLXNpLVnGVuV+BJbaY=,-1.3,-28.6
njZEDkTA4mgiARK+2lMt1XKieVoTXptHM32tPh7lGWw=,-6.4,-27.7
njZEDkTA4mgZIetQ+caMIxKyGdrz/cE/iov51c01Qd4=,-4,-26.3
njZEDkTA4mhXBrbFJl/Bv/8VHIpZkxCb/z3lVdZ/1cQ=,-5.3,-29.6
njZEDkTA4mgWWU03lRxBFgfLUPZ46Kxd2ZaSaiyzcFI=,-7.8,-28.9
njZEDkTA4mgWWU03lRxBFgfLUPZ46Kxd2ZaSaiyzcFI=,-7.8,-28.9
njZEDkTA4mhMd38hmJ6sFsk82htc7y964/KMIjLZiyo=,-1.9,-30.1
njZEDkTA4mhKOtXkRIPFhBzxgTIuGg/UEsL+4Cxpym4=,-4.1,-29.3
njZEDkTA4misW8k1uxtRp3WXJNHhA4qA7q9yG8Vst2k=,-2.7,-28.8
njZEDkTA4misW8k1uxtRpy9/eUO9pznT5fFy9saRSxU=,-3.1,-29.5
njZEDkTA4misW8k1uxtRpy9/eUO9pznT5fFy9saRSxU=,-3,-29.6
njZEDkTA4misW8k1uxtRpzWzzKfDITo68siBvvkbZRg=,-2.2,-29.5
njZEDkTA4mjbtTUzmCeqwiL+6A/GgsOBQF/CTTu2F5Y=,-1,-30.1
njZEDkTA4mjZGSPmEY3U4r56QTRz50sl+NE/grsCEPQ=,-1.7,-27.8
njZEDkTA4mgfENts4k6kSGBRN0EHeml9l4DjKXTfk+o=,-3.3,-30
njZEDkTA4mhH0X6U0MuB7VRO6eeyZWaniKGDpJXh+Ds=,-1.3,-29.8
njZEDkTA4mhsCFFRaj0x+KMq0RVoHlbqS8Q3jqKZbmc=,-1.8,-30.1
njZEDkTA4mjZGSPmEY3U4q2QdZT2qOdcd8fRI44y3zc=,-1.2,-28.1
njZEDkTA4mhR8rGbSsJLb6cukeMvremZBtGbGGiAx4k=,-4.8,-29.5
njZEDkTA4mhR8rGbSsJLbyKHqRDc/lGtzlnIdO9QBQ0=,-4.5,-28.5
njZEDkTA4mi6lNVtRg00eNWwyQgddzDi5F2NTGiJEVc=,-2.9,-31.6
njZEDkTA4mgDz3melY7dfQNMRUGLJr7nQVOoadhQsgI=,-1.7,-29.1
njZEDkTA4mgiCY3WEM5lM9N5JGr0HKviPCjIMG8pBsc=,-2.8,-26.4
njZEDkTA4mh0yr9ydy7qRZC0Ve+IWGQeEwpl4eZtpAg=,-3.1,-31.2
njZEDkTA4mgDIL0BcS2yRYGrNGyARpIhjrXOu1tJWWs=,-0.9,-30.4
njZEDkTA4mijb1oR1IwLWxivLK0WHZulG6IAdSLWObY=,-1.9,-27.3
njZEDkTA4mijQdJIkfYasnD2h9naC7vbsLiMy4Go8XA=,-1,-30.4
njZEDkTA4mgzibdydw4wIWlntUakjAYfiR8XOwNE4WU=,-5.7,-28.5
njZEDkTA4mgzibdydw4wIeucmC/7uRrENi3KhXAJaso=,-4.8,-31.4
