individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,dryMassFraction,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D08.LENO.00025,D08,QUPH,25.4,Quercus phellos L.,10.9,LENO,31.806907,-88.19388,92.9,0.457,27.66,20.08,0.135,0.682,0.352,5.51,1.32,1.91,0.134,0.046,1337.2,31.7,5,15.8,24.9,1.89,49.85
NEON.PLA.D08.LENO.00065,D08,QUPA5,26.2,Quercus pagoda Raf.,10.3,LENO,31.808316,-88.188214,84,0.439,26.25,23.62,0.154,0.759,0.344,6.58,1.53,1.83,0.088,0.051,1769.1,34.5,6,22.1,25.3,2,49.42
NEON.PLA.D08.LENO.00079,D08,QUPA5,18.6,Quercus pagoda Raf.,10.3,LENO,31.808316,-88.188214,86.1,0.471,26.240000000000002,23,0.143,0.878,0.71,7.75,2.1,2.03,0.197,0.037,2288.7,89.7,9.9,14.1,35.2,1.66,48.98
NEON.PLA.D08.LENO.00178,D08,PLOC,22.5,Platanus occidentalis L.,13.3,LENO,31.827863,-88.181486,58.7,0.366,26.56,20.78,0.237,1.024,0.828,8.73,2.31,1.96,0.18,0.071,47,75.3,11.1,28.6,21.2,1.83,49.66
NEON.PLA.D08.LENO.00190,D08,PLOC,18.6,Platanus occidentalis L.,13.3,LENO,31.827863,-88.181486,48,0.296,28.61,22.66,0.251,0.8775,0.99,11.04,2.57,2.49,0.177,0.0725,52.099999999999994,68.7,10.600000000000001,36.349999999999994,28.25,1.91,49.01
NEON.PLA.D08.LENO.00240,D08,QUPH,17,Quercus phellos L.,16.7,LENO,31.825951,-88.183041,67,0.433,22.74,25.87,0.137,0.661,0.588,8.92,2.22,2.33,0.151,0.045,1217.7,111.6,6,19.8,23.7,1.96,50.36
NEON.PLA.D08.LENO.00305,D08,CACA18,5.4,Carpinus caroliniana Walter,12.4,LENO,31.821088,-88.182303,39.3,0.419,5.64,16.98,0.174,0.92,1.32,9.03,3.05,2.38,0.185,0.044,816.9,48.1,8.8,29.1,26.7,1.99,46.5
NEON.PLA.D08.LENO.00621,D08,CACA18,2.3,Carpinus caroliniana Walter,10.8,LENO,31.808121,-88.179966,36.9,0.389,5.1,19.35,0.1605,0.599,1.258,8,2.99,2.31,0.251,0.0485,995.0999999999999,49.1,8.55,51.1,32,2.12,47.32
NEON.PLA.D08.LENO.00631,D08,QUNI,23.7,Quercus nigra L.,10.8,LENO,31.808121,-88.179966,108.1,0.466,24.66,22.05,0.144,0.743,0.571,9.29,2.43,2.29,0.144,0.054,987.7,39.2,6.1,9.2,37.3,1.98,50.37
NEON.PLA.D08.LENO.00647,D08,QUMI,20.4,Quercus michauxii Nutt.,11.6,LENO,31.814261,-88.18736,83.9,0.456,18.52,20.605,0.23,1.166,0.841,8,1.6,2.53,0.192,0.05,1298.2,46.3,8.7,25.8,33,2.34,50
NEON.PLA.D08.LENO.00652,D08,QUMI,20.9,Quercus michauxii Nutt.,11.6,LENO,31.814261,-88.18736,60.8,0.455,18.54,20.76,0.213,0.956,0.584,10.42,2.68,2.83,0.133,0.046,1267.9,34.6,10,20.2,33,2.24,49.35
NEON.PLA.D08.LENO.00667,D08,QUPA5,29.8,Quercus pagoda Raf.,11.6,LENO,31.814261,-88.18736,91.2,0.482,26.09,23.46,0.144,0.897,0.367,9.11,2.01,2.44,0.121,0.042,1329.8,40.2,7.1,15.1,34.7,1.95,49.91
NEON.PLA.D08.LENO.00752,D08,QULA3,11.6,Quercus laurifolia Michx.,13.8,LENO,31.812513,-88.202235,66.1,0.348,13.82,20.48,0.135,0.624,0.492,8.14,2.05,2.04,0.149,0.045,1276.1,52.4,8.6,14.8,21.7,1.82,49.78
NEON.PLA.D08.LENO.00773,D08,QULA3,18.3,Quercus laurifolia Michx.,13.8,LENO,31.812513,-88.202235,165,0.565,19.04,24.77,0.114,0.475,0.491,6.44,1.44,1.74,0.131,0.034,1482.9,51.3,6,16.8,29.2,1.53,50.185
NEON.PLA.D08.LENO.00799,D08,LIST2,7.2,Liquidambar styraciflua L.,13.8,LENO,31.812513,-88.202235,48.3,0.268,25.38,22.44,0.219,0.735,0.552,6.09,1.35,1.61,0.216,0.065,845.2,47.9,7.6,12.7,33.2,2.45,50.3
