individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D08.LENO.08444,D08,ULAM,7,Ulmus americana L.,12.4,LENO,31.854294,-88.160718,58.4,17.77,19.63,0.294,1.876,1.0725,13.06,4.03,3.26,0.253,0.057999999999999996,58.7,47.55,5.800000000000001,52.1,33.1,2.65,45.57
NEON.PLA.D08.LENO.08458,D08,LIST2,10.7,Liquidambar styraciflua L.,12.4,LENO,31.854294,-88.160718,58.6,18.06,17.89,0.295,1.39,0.617,12.08,3.8,2.67,0.293,0.075,995.4,38,10.8,20.7,39.3,2.44,49.71
NEON.PLA.D08.LENO.08521,D08,CACA18,4.7,Carpinus caroliniana Walter,12.1,LENO,31.85541,-88.160398,46.8,6.63,18.88,0.168,0.677,1.383,12.02,4.25,2.6,0.199,0.049,582.4,47.7,8.3,18.5,29.8,2,47.54
NEON.PLA.D08.LENO.08527,D08,LIST2,16.3,Liquidambar styraciflua L.,12.1,LENO,31.85541,-88.160398,65.8,20.78,17.67,0.238,0.962,0.6,7.45,1.99,1.93,0.208,0.067,736,35.5,7.9,10.4,44.5,2.14,48.91
NEON.PLA.D08.LENO.08530,D08,LIST2,17.5,Liquidambar styraciflua L.,12.1,LENO,31.85541,-88.160398,74.4,17.5,13.77,0.366,0.929,0.832,6.29,1.7,1.61,0.314,0.069,1027.8,23.2,12.4,13.7,36.7,2.05,48.19
NEON.PLA.D08.LENO.08763,D08,QUNI,11,Quercus nigra L.,11.3,LENO,31.857053,-88.161742,89.3,21.77,25.09,0.153,0.861,0.779,11.7,3.8,2.38,0.154,0.052,676.3,42.9,7.4,21.2,34.3,2.15,49.61
NEON.PLA.D08.LENO.08852,D08,CELA,24.1,Celtis laevigata Willd.,13.7,LENO,31.857548,-88.163273,55.1,12.72,17.66,0.265,1.657,4.166,18.12,5.42,4.68,0.386,0.059,203.8,56.4,14.1,23.2,19.1,2.91,42.32
NEON.PLA.D08.LENO.11695Z,D08,QULA3,19,Quercus laurifolia Michx.,10.9,LENO,31.806907,-88.19388,93.9,18.32,20.48,0.132,0.639,0.44,8.41,2.44,2.19,0.162,0.044,1450.2,36.8,6.7,16,22.8,1.96,49.35
NEON.PLA.D08.LENO.11696Z,D08,CELA,15.5,Celtis laevigata Willd.,10.3,LENO,31.808316,-88.188214,40,6.45,14.36,0.311,1.727,2.678,13.34,3.25,3.84,0.4,0.072,138.4,50.7,9.4,19.4,24.8,3.48,44.35
NEON.PLA.D08.LENO.11697Z,D08,LIST2,21.4,Liquidambar styraciflua L.,15.4,LENO,31.811628,-88.181313,46.3,14.05,13.67,0.335,1.621,0.609,9.74,2.1,2.59,0.201,0.066,597.3,46.8,14.6,15.8,42.4,2.47,49.73
NEON.PLA.D08.LENO.11698Z,D08,QUPA5,7.8,Quercus pagoda Raf.,13.3,LENO,31.827863,-88.181486,63.3,20.92,23.14,0.198,1.012,0.67,9.71,2.63,2.24,0.164,0.053,457.7,49.1,8.6,19.1,27.6,2.48,49.65
NEON.PLA.D08.LENO.11699Z,D08,LIST2,10.2,Liquidambar styraciflua L.,16.7,LENO,31.825951,-88.183041,54.1,17.82,15.62,0.134,0.615,0.492,9.07,2,2.7,0.146,0.069,826.6,41.1,11.5,17.1,43.9,2.62,49.32
NEON.PLA.D08.LENO.11700Z,D08,CELA,6.5,Celtis laevigata Willd.,12.4,LENO,31.821088,-88.182303,45.6,5.86,16.06,0.268,1.204,4.634,12.58,3.42,3.87,0.482,0.051,101.8,58.8,8.8,37.4,31.5,2.625,42.185
NEON.PLA.D08.LENO.14643,D08,ULAM,12.5,Ulmus americana L.,13.7,LENO,31.857548,-88.163273,62.4,17.45,19.9,0.27,1.483,1.666,13.8,4.62,3.03,0.224,0.047,122.6,55.2,5.9,39.1,14.9,2.18,44.41
NEON.PLA.D08.TALL.00207,D08,QUAL,5.3,Quercus alba L.,105.1,TALL,32.899796,-87.406679,81,17.26,18.82,0.119,0.553,0.477,3.42,0.72,1.03,0.19,0.108,1311.5,65.6,7.3,22.5,27.2,1.68,46.97
NEON.PLA.D08.TALL.00213,D08,LIST2,17.8,Liquidambar styraciflua L.,135.8,TALL,32.951506,-87.398919,95.8,30.49,22.79,0.131,1.046,0.538,5.87,1.31,1.31,0.304,0.12,723.1,65.1,10.2,17.2,30.3,1.5950000000000002,48.55
NEON.PLA.D08.TALL.00231,D08,PITA,22.3,Pinus taeda L.,135.8,TALL,32.951506,-87.398919,277.8,22.05,24.65,0.11699999999999999,1.0545,0.139,8.19,2.1,2.22,0.096,0.0885,438.70000000000005,61.95,20.7,12.600000000000001,35.599999999999994,1.22,50.31
