individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent,eventID,plotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,supportingStemIndividualID,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,vertUncert,nlcdClass,appMods,geometry,UTM_E,UTM_N,stemDiameter,height,maxCrownDiameter,ninetyCrownDiameter,growthForm,plantStatus,canopyPosition,shape,crown_size
NEON.PLA.D08.TALL.00380,D08,PIPA2,12.7,Pinus palustris Mill.,132,TALL,32.957884,-87.432613,279.4,17.85,22.81,0.068,0.521,0.116,2.68,0.54,0.85,0.069,0.074,291.6,74.3,3,13.5,49.8,0.8,50.33,vst_TALL_2014,TALL_004,NaN,41,8.1,267.1,NA,basePlot,32.957884,-87.432613,WGS84,16N,459567.784,3646700.986,0.12,GeoXH 6000,0.14,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4326126199975, 32.9578837150143)",459559.6943732068,3646700.5761971856,29.500000000000004,10.9,8.2,7.400000000000001,single bole tree,"Live, disease damaged",Partially shaded,NA,measured
NEON.PLA.D08.TALL.00474,D08,PITA,17.5,Pinus taeda L.,132,TALL,32.957884,-87.432613,278.4,19.94,20.75,0.104,0.663,0.19,2.38,0.52,0.75,0.074,0.081,535.1,78.5,3.1,11.1,56.6,1.12,52.23,vst_TALL_2014,TALL_004,NaN,41,8.5,136.5,NA,basePlot,32.957884,-87.432613,WGS84,16N,459567.784,3646700.986,0.12,GeoXH 6000,0.14,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4326126199975, 32.9578837150143)",459573.63501389336,3646694.8203178463,31.599999999999998,17.999999999999996,7.599999999999998,7.599999999999998,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.00562,D08,PIPA2,19.5,Pinus palustris Mill.,119.9,TALL,32.897128,-87.397349,376.2,18.69,24.71,0.053,0.42,0.245,3.42,0.86,1.14,0.05,0.061,715.4,60.5,2.1,8.4,29.7,0.7,48.66,vst_TALL_2014,TALL_005,NaN,41,10.7,99.5,NA,basePlot,32.897128,-87.397349,WGS84,16N,462838.191,3639952.611,0.16,GeoXH 6000,0.2,mixedForest,cdw|cfc|dhp|hbp|vst,"c(-87.3973488095416, 32.8971278584922)",462848.7442559364,3639950.844990617,31.699999999999996,23.700000000000003,7.400000000000001,6.200000000000001,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.00667,D08,PIPA2,10.1,Pinus palustris Mill.,132,TALL,32.957884,-87.432613,321.9,19.66,25.54,0.07,0.564,0.111,2.6,0.52,0.81,0.072,0.078,337.4,55.8,3.3,12.9,47.3,0.89,49.69,vst_TALL_2014,TALL_004,NaN,41,7.4,339,NA,basePlot,32.957884,-87.432613,WGS84,16N,459567.784,3646700.986,0.12,GeoXH 6000,0.14,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4326126199975, 32.9578837150143)",459565.13207717333,3646707.894495156,43.300000000000004,18.800000000000004,10.699999999999998,9.699999999999998,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.00922,D08,QUAL,11.1,Quercus alba L.,82.5,TALL,32.974429,-87.42694,88.4,17.1,20.65,0.141,1.124,0.513,5.44,1.36,1.36,0.159,0.109,844,58.6,8.7,15.9,27.8,1.52,48.46,vst_TALL_2014,TALL_007,NaN,41,9.6,110.9,NA,basePlot,32.974429,-87.42694,WGS84,16N,460105.354,3648532.991,0.3,GeoXH 6000,0.33,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4269404003111, 32.9744285085192)",460114.32236295345,3648529.5663152062,40.099999999999994,14.899999999999997,13,9.1,single bole tree,Live,Full sun,NA,measured
NEON.PLA.D08.TALL.00925,D08,LITU,18.5,Liriodendron tulipifera L.,82.5,TALL,32.974429,-87.42694,73.7,16.39,19.43,0.178,1.722,0.48,6.25,1.68,1.42,0.308,0.145,489.6,50.1,11.3,16,32.3,2.78,48.67,vst_TALL_2014,TALL_007,NaN,41,7.2,126.1,NA,basePlot,32.974429,-87.42694,WGS84,16N,460105.354,3648532.991,0.3,GeoXH 6000,0.33,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4269404003111, 32.9744285085192)",460111.17152716406,3648528.748786227,29.799999999999997,17,7.800000000000002,4.3,single bole tree,Live,Full sun,NA,measured
NEON.PLA.D08.TALL.00964,D08,PIPA2,15.6,Pinus palustris Mill.,82.5,TALL,32.974429,-87.42694,316.8,18.81,25.63,0.072,0.616,0.068,2.6,0.51,0.86,0.059,0.061,258.2,48,2.7,7.1,23.4,0.575,49.385,vst_TALL_2014,TALL_007,NaN,41,8.9,200.5,NA,basePlot,32.974429,-87.42694,WGS84,16N,460105.354,3648532.991,0.3,GeoXH 6000,0.33,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4269404003111, 32.9744285085192)",460102.2371543068,3648524.6546175154,16.400000000000002,14.600000000000001,3.7999999999999994,2.1,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.00995,D08,QUMO4,10.4,Quercus montana Willd.,118.3,TALL,32.922158,-87.428893,62.8,24.86,21.31,0.127,0.912,0.577,6.75,1.52,1.65,0.216,0.116,2003.1,72.7,6.6,40.9,23.8,1.91,48.43,vst_TALL_2014,TALL_002,NaN,41,8.7,114.1,NA,basePlot,32.922158,-87.428893,WGS84,16N,459899.328,3642739.054,0.23,GeoXH 6000,0.39,mixedForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.428892736669, 32.9221584850148)",459907.2696573419,3642735.5015249946,12.2,11.8,5.8,4.3,single bole tree,Live,Mostly shaded,NA,measured
NEON.PLA.D08.TALL.01092,D08,PITA,8.9,Pinus taeda L.,118.3,TALL,32.922158,-87.428893,206.9,20.41,22.21,0.128,0.895,0.153,5.44,1.72,1.19,0.142,0.107,794.4,70.1,6,23.5,50.2,1.45,50.73,vst_TALL_2014,TALL_002,NaN,41,9,209.5,NA,basePlot,32.922158,-87.428893,WGS84,16N,459899.328,3642739.054,0.23,GeoXH 6000,0.39,mixedForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.428892736669, 32.9221584850148)",459894.89618795906,3642731.2207987364,13.7,8.8,4.1,2.2,single bole tree,"Live,  other damage",Mostly shaded,NA,measured
NEON.PLA.D08.TALL.01106,D08,LIST2,8.6,Liquidambar styraciflua L.,118.3,TALL,32.922158,-87.428893,40.5,24.93,22.06,0.128,1.024,0.73,3.18,0.88,0.82,0.416,0.16,2309.6,48.2,8,20.5,55.1,1.63,47.98,vst_TALL_2014,TALL_002,NaN,41,5.8,83,NA,basePlot,32.922158,-87.428893,WGS84,16N,459899.328,3642739.054,0.23,GeoXH 6000,0.39,mixedForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.428892736669, 32.9221584850148)",459905.0847676795,3642739.7608421915,12.4,14.7,4.3,3.5999999999999996,single bole tree,Live,Mostly shaded,NA,measured
